Trial: lr: 0.0001, alpha: 1.0e-7, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 1.0e-7, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.1, alpha: 1.0e-7, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.0001, alpha: 1.0e-7, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 1.0e-7, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.1, alpha: 1.0e-7, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.0001, alpha: 1.0e-7, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 1.0e-7, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.1, alpha: 1.0e-7, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.0001, alpha: 1.0e-7, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 1.0e-7, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.1, alpha: 1.0e-7, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.0001, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.0001, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.1, alpha: 0.0001, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.0001, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.0001, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.1, alpha: 0.0001, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.0001, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.0001, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.1, alpha: 0.0001, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.0001, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.0001, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.1, alpha: 0.0001, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.1, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.1, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.1, alpha: 0.1, n_h_layer: 1, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.1, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.1, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.1, alpha: 0.1, n_h_layer: 2, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.1, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.1, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.1, alpha: 0.1, n_h_layer: 3, n_nodes: 8
Trial: lr: 0.0001, alpha: 0.1, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.0031622776601683794, alpha: 0.1, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.1, alpha: 0.1, n_h_layer: 4, n_nodes: 8
Trial: lr: 0.0001, alpha: 1.0e-7, n_h_layer: 1, n_nodes: 16
Trial: lr: 0.0031622776601683794, alpha: 1.0e-7, n_h_layer: 1, n_nodes: 16
Trial: lr: 0.1, alpha: 1.0e-7, n_h_layer: 1, n_nodes: 16
