lr_exponent,alpha_exponent,n_nodes_exponent,n_h_layer,performance
-4.0,-7.0,3,1,0.571
-2.5,-7.0,3,1,0.000793
-1.0,-7.0,3,1,0.000911
-4.0,-7.0,3,2,0.0628
-2.5,-7.0,3,2,0.00802
-1.0,-7.0,3,2,0.000682
-4.0,-7.0,3,3,0.086
-2.5,-7.0,3,3,0.000802
-1.0,-7.0,3,3,0.000681
-4.0,-7.0,3,4,0.189
-2.5,-7.0,3,4,0.00804
-1.0,-7.0,3,4,0.0336
-4.0,-4.0,3,1,0.552
-2.5,-4.0,3,1,0.00799
-1.0,-4.0,3,1,0.00125
-4.0,-4.0,3,2,0.496
-2.5,-4.0,3,2,0.00695
-1.0,-4.0,3,2,0.000704
-4.0,-4.0,3,3,0.107
-2.5,-4.0,3,3,Inf
-1.0,-4.0,3,3,0.000849
-4.0,-4.0,3,4,0.66
-2.5,-4.0,3,4,Inf
-1.0,-4.0,3,4,0.00109
-4.0,-1.0,3,1,1.08
-2.5,-1.0,3,1,0.000736
-1.0,-1.0,3,1,0.000934
-4.0,-1.0,3,2,2.03
-2.5,-1.0,3,2,0.000771
-1.0,-1.0,3,2,0.000996
-4.0,-1.0,3,3,2.48
-2.5,-1.0,3,3,0.00731
-1.0,-1.0,3,3,0.000453
-4.0,-1.0,3,4,2.46
-2.5,-1.0,3,4,0.000775
-1.0,-1.0,3,4,1.25
-4.0,-7.0,4,1,Inf
-2.5,-7.0,4,1,0.00753
-1.0,-7.0,4,1,0.00125
-4.0,-7.0,4,2,0.378
-2.5,-7.0,4,2,0.000785
-1.0,-7.0,4,2,0.000838
-4.0,-7.0,4,3,0.329
-2.5,-7.0,4,3,0.00767
-1.0,-7.0,4,3,0.001
-4.0,-7.0,4,4,0.399
-2.5,-7.0,4,4,0.00863
-1.0,-7.0,4,4,0.00122
-4.0,-4.0,4,1,0.5
-2.5,-4.0,4,1,Inf
-1.0,-4.0,4,1,0.000667
-4.0,-4.0,4,2,0.156
-2.5,-4.0,4,2,0.000685
-1.0,-4.0,4,2,0.000658
-4.0,-4.0,4,3,0.131
-2.5,-4.0,4,3,Inf
-1.0,-4.0,4,3,0.000597
-4.0,-4.0,4,4,0.14
-2.5,-4.0,4,4,0.00768
-1.0,-4.0,4,4,0.000997
-4.0,-1.0,4,1,1.81
-2.5,-1.0,4,1,0.00107
-1.0,-1.0,4,1,0.000917
-4.0,-1.0,4,2,2.13
-2.5,-1.0,4,2,0.000793
-1.0,-1.0,4,2,0.000883
-4.0,-1.0,4,3,3.28
-2.5,-1.0,4,3,0.00854
-1.0,-1.0,4,3,0.000817
-4.0,-1.0,4,4,3.47
-2.5,-1.0,4,4,0.00885
-1.0,-1.0,4,4,2.34
-4.0,-7.0,5,1,0.109
-2.5,-7.0,5,1,0.000826
-1.0,-7.0,5,1,0.00438
-4.0,-7.0,5,2,0.187
-2.5,-7.0,5,2,0.000837
-1.0,-7.0,5,2,0.000814
-4.0,-7.0,5,3,0.191
-2.5,-7.0,5,3,0.0079
-1.0,-7.0,5,3,0.000863
